Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Raden Syamsa Nur Ashari Mahmud,10218,Menikah,Widowed,P,Karyawan Organik,Front End Developer,Senior,Average,LGT,Logee Truck All Product,08/17/86,Cina,16/05/2011,04/02/2015,more money,Voluntarily Terminated,Indeed,4 2,4,5,0,10/01/2014,0,12
Rahadian Ardya K,10219,Menikah,Pernah Menikah/Bercerai,P,Prohire,Back End Developer,Middle,Fully meets,EWD,Sales Cycle   ,05/09/1977,Padang,25/10/2010,18/05/2018,Another position,Voluntarily Terminated,Indeed,4 16,4,5,0,05/03/2016,0,6
Rahardian Agung Wardana,10220,Belum Menikah,Single,P,Prohire,Mobile Developer Android,Middle,Need improvement,LGT,Logee Port,03/10/1979,Bali,02/04/2012,,N/A-StillEmployed,Active,LinkedIn,4 3,4,3,0,14/01/2020,0,14
Rahmat Agus Nuryady,10221,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,HLT,PeduliLindungi,09/16/84,Sunda,10/11/2014,,N/A-StillEmployed,Active,Employee Referral,4 6,5,5,7,04/01/2020,0,16
Rahmat Prastyo,10222,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Exceed,FIN,Platform,03/06/1988,Sunda,05/07/2011,30/11/2014,more money,Voluntarily Terminated,Google Search,5,5,3,0,20/02/2013,0,13
Rahmat Saefullah,10223,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Exceed,COM,UMEETME,11/23/81,Sunda,05/11/2007,,N/A-StillEmployed,Active,Google Search,3 66,4,3,0,25/02/2020,0,15
Rani Triani Gustia,10224,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Middle,Exceed,COM,UMEETME,08/29/88,Sunda,09/01/2012,,N/A-StillEmployed,Active,Website,4 2,4,5,0,01/02/2020,0,9
Rd Muhamad Rahadi Sampurna,10225,Menikah,Married,P,TKP/ Outsource,Front End Developer,Junior,Average,EDU,Squad Control Tower,10/15/84,Padang,16/05/2011,04/06/2020,Another position,Voluntarily Terminated,Google Search,3 17,3,4,0,02/04/2019,0,14
Refal Pradama Dahlan,10226,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Average,EDU,Squad Pijar Sekolah,06/19/61,Bali,06/01/2014,,N/A-StillEmployed,Active,Employee Referral,4 8,5,3,0,07/01/2020,0,14
Rendy Kenan Eliazar,10227,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Senior,Average,IHX,Squad B,09/22/70,Jawa,24/09/2012,18/06/2015,unhappy,Voluntarily Terminated,Indeed,4 5,5,5,0,02/04/2014,0,16
Renita Dewi,10228,Menikah,Pernah Menikah/Bercerai,L,Prohire,Front End Developer,Middle,Fully meets,IHX,Squad C,11/06/1984,Jawa,21/02/2011,15/08/2017,career change,Voluntarily Terminated,Diversity Job Fair,4 15,4,4,0,19/04/2015,0,4
Resskytha Permata Sari,10229,Belum Menikah,Single,P,Prohire,Front End Developer,Senior,Average,IHX,Squad D,05/12/1980,Padang,02/10/2016,,N/A-StillEmployed,Active,Indeed,4 4,4,4,6,06/02/2020,0,10
Reva Histro Wiki Fonseca,10230,Menikah,Married,L,TKP/ Outsource,Back End Developer,Middle,Fully meets,IHX,Squad A,12/31/84,Padang,26/09/2011,07/04/2020,more money,Voluntarily Terminated,Indeed,3 8,4,5,0,04/02/2019,0,19
Rheznandya Daffi Pradipta,10231,Belum Menikah,Single,L,Prohire,Mobile Developer Android,Middle,Average,EWD,Data & Dashboard Analytics,10/12/1954,Jawa,12/05/2014,,N/A-StillEmployed,Active,CareerBuilder,3 98,4,3,0,28/01/2020,0,4
Rian Sopiyan,10232,Belum Menikah,Single,L,Prohire,System Documentation,Junior,Exceed,EWD,Payment - SSOF,07/22/82,Bali,16/05/2011,15/01/2018,retiring,Voluntarily Terminated,LinkedIn,5,5,4,0,30/03/2016,0,11
Rivano Dwi Hervan,10233,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Middle,Average,FIN,MPS,01/12/1973,Jawa,28/11/2011,,N/A-StillEmployed,Active,Google Search,4 36,4,5,0,11/02/2020,0,16
Rizal Prasetya Nugraha,10234,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Exceed,COM,UMEETME,09/05/1981,Padang,26/09/2011,22/10/2013,return to school,Voluntarily Terminated,Google Search,4 5,5,4,0,22/10/2012,0,10
Rizka Annisa Kurniasari,10235,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Control Tower,07/03/1972,Sunda,05/07/2011,08/02/2014,Another position,Voluntarily Terminated,Indeed,4 2,4,5,0,06/01/2013,0,13
Rizky Febrianto,10236,Menikah,Married,L,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Pijar Corpu,01/07/1974,Jawa,10/01/2011,26/01/2018,attendance,Voluntarily Terminated,Indeed,5,5,3,0,10/01/2016,0,11
Rizky Ramadhan Subagio,10237,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Explore,01/07/1985,Jawa,10/01/2011,17/05/2018,attendance,Terminated for Cause,Indeed,3 6,4,3,0,05/04/2017,4,16
Rudi Indra Putranto,10238,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Fully meets,EWD,Product & Content Management System,01/28/85,Padang,08/07/2013,,N/A-StillEmployed,Active,Employee Referral,3 6,4,5,0,11/02/2020,0,4
Ryan Brama,10239,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Average,EWD,Progressive Web App,10/11/1981,Cina,16/02/2015,,N/A-StillEmployed,Active,Employee Referral,3 69,4,5,6,14/02/2020,0,15
Salma Adilah Putri,10240,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Average,VGA,Ads Based,05/27/73,Cina,05/01/2015,10/11/2020,Another position,Voluntarily Terminated,LinkedIn,3 88,4,3,7,13/02/2019,0,12
Salma Rizqi Fadhila,10241,Menikah,Married,P,TKP/ Outsource,Front End Developer,Middle,Exceed,VGA,IndiBOX Apps,11/21/72,Cina,07/01/2017,,N/A-StillEmployed,Active,Indeed,4 94,5,3,5,06/02/2020,0,17
Salsabila Nur Fitria,10242,Menikah,Widowed,P,Prohire,Mobile Developer Android,Middle,Fully meets,VGA,UseeTV Go,12/05/1974,Cina,06/01/2014,,N/A-StillEmployed,Active,Website,5,5,4,0,31/01/2020,0,8
Samnursanto,10243,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Middle,Average,ENT,MyPertamina,03/18/87,Sunda,04/04/2011,13/08/2020,Another position,Voluntarily Terminated,Google Search,5,5,5,0,02/07/2019,0,4
Sarah Mutia Putri,10244,Menikah,Married,L,Prohire,Back End Developer,Middle,Average,FIN,Bonum,04/05/1973,Padang,20/01/2013,,N/A-StillEmployed,Active,Indeed,3 6,4,5,7,18/02/2020,0,13
Sayed Muzammil,10245,Belum Menikah,Single,L,Prohire,Mobile Developer Android,Middle,Exceed,COM,Vutura,01/04/1964,Cina,09/01/2012,04/11/2017,hours,Voluntarily Terminated,Diversity Job Fair,4 3,4,4,6,04/01/2016,0,8
Setiawan Restu Aji,10246,Menikah,Widowed,P,Prohire,Mobile Developer Android,Middle,Need improvement,HLT,PeduliLindungi,07/24/86,Bali,05/11/2012,,N/A-StillEmployed,Active,Indeed,4 2,4,3,6,13/02/2020,0,2
Shabrina Fitri Ningtyas,10247,Belum Menikah,Single,P,Prohire,Mobile Developer iOS,Middle,Fully meets,VGA,IndiBOX Apps,06/06/1968,Padang,04/07/2016,,N/A-StillEmployed,Active,Diversity Job Fair,2 6,3,4,0,18/02/2020,5,4
Shania Tri Sakanti,10248,Menikah,Widowed,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,EDU,Squad Pijar Corpu,12/21/74,Cina,05/01/2009,30/07/2020,relocation out of area,Voluntarily Terminated,Google Search,4 6,5,5,0,05/02/2019,0,7
Shelly Ciptantiani,10249,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Mahir,04/26/86,Padang,30/08/2010,,N/A-StillEmployed,Active,CareerBuilder,4 1,4,3,0,10/01/2020,0,13
Shepthia Dwina Suwandi,10250,Menikah,Widowed,L,Prohire,Front End Developer,Junior,Special treatment,EDU,Squad Service Core,12/17/87,Jawa,05/01/2015,31/10/2017,hours,Voluntarily Terminated,LinkedIn,4 2,4,3,5,20/04/2016,0,2
Slamet Rahayu,10251,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Average,HLT,PeduliLindungi,07/10/1988,Jawa,29/09/2014,,N/A-StillEmployed,Active,LinkedIn,3 51,4,3,0,18/02/2020,0,2
Sony Kusuma Istri,10252,Belum Menikah,Single,P,Prohire,Front End Developer,Junior,Need improvement,HLT,Vaksinasi,03/10/1975,Jawa,30/09/2013,,N/A-StillEmployed,Active,Google Search,5,5,5,0,06/02/2020,0,14
Sourabh Sharma,10253,Belum Menikah,Single,P,Prohire,Front End Developer,Junior,Average,IHX,Squad C,04/14/81,Cina,30/09/2014,,N/A-StillEmployed,Active,LinkedIn,3 31,3,3,6,07/01/2020,0,7
Sri Reski Anita Muhsini,10254,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Junior,Average,COM,ChatAja,08/24/85,Sunda,19/08/2013,,N/A-StillEmployed,Active,LinkedIn,4 81,5,4,0,15/02/2020,0,15
Sulala Rugaya,10255,Menikah,Widowed,L,TKP/ Outsource,DevOps Engineer,Junior,Fully meets,COM,UMEETME,02/08/1970,Sunda,05/01/2015,,N/A-StillEmployed,Active,Employee Referral,3 32,3,3,7,14/01/2020,0,16
Syaukat Rafifidhiya Zubaidi,10256,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Average,FIN,MPS,05/19/88,Sunda,01/05/2015,,N/A-StillEmployed,Active,Website,5,5,3,5,15/01/2020,0,2
Tamie Mauretta,10257,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad B,11/25/87,Cina,26/10/2009,08/04/2017,maternity leave - did not return,Voluntarily Terminated,CareerBuilder,4 68,5,4,0,02/04/2016,0,20
Thalita Aprilla Rachma Dara,10258,Menikah,Widowed,L,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad D,10/30/63,Jawa,29/09/2014,,N/A-StillEmployed,Active,Indeed,4 3,4,3,0,28/01/2020,0,4
Tri Lika Jayanti Budi Ranti,10259,Belum Menikah,Single,L,Prohire,System Documentation,Junior,Exceed,VGA,IndiBOX Apps,08/16/84,Cina,18/05/2014,,N/A-StillEmployed,Active,Diversity Job Fair,2 4,2,4,0,16/01/2020,2,16
Try Satria Amanattullah,10260,Menikah,Pernah Menikah/Bercerai,P,Prohire,Front End Developer,Junior,Exceed,ENT,MyPertamina,06/14/87,Padang,26/09/2011,25/09/2015,career change,Voluntarily Terminated,Diversity Job Fair,3 8,4,4,4,15/08/2014,0,17
Trya Lovenia,10261,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Need improvement,VGA,Ads Based,02/02/1965,Bali,11/11/2013,,N/A-StillEmployed,Active,Employee Referral,3 73,4,3,0,24/01/2020,0,16
Ulfah Nuraeni,10262,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Average,VGA,UseeTV Go,03/12/1973,Jawa,10/06/2011,,N/A-StillEmployed,Active,LinkedIn,4 3,4,3,5,08/02/2020,0,19
Vanda Ayu Nintyas,10263,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,VGA,UseeTV Go,02/09/1983,Padang,30/06/2016,,N/A-StillEmployed,Active,LinkedIn,3 27,3,4,5,14/01/2020,0,13
Verina Riska,10264,Menikah,Married,P,TKP/ Outsource,Front End Developer,Senior,Average,COM,ChatAja,07/20/68,Bali,20/02/2012,,N/A-StillEmployed,Active,Indeed,2 4,2,2,1,25/02/2020,6,20
Wahyu Widi Purwoko,10265,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Senior,Exceed,IHX,Squad A,09/30/75,Padang,02/10/2012,,N/A-StillEmployed,Active,LinkedIn,4 83,5,5,0,14/02/2020,0,15
Wawan Agus Hendrayadi,10266,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Average,COM,UMEETME,03/26/73,Bali,13/05/2013,29/06/2017,unhappy,Voluntarily Terminated,LinkedIn,4 1,4,4,0,02/03/2016,0,16
Widayat Tri Raharjo,10267,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Fully meets,ENT,NETMONK,08/25/82,Padang,10/01/2011,,N/A-StillEmployed,Active,Google Search,4 1,4,4,0,07/02/2020,0,9
Widdesto Ari Yudistiro,10268,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Average,FIN,Bonum,05/09/1974,Jawa,12/05/2014,,N/A-StillEmployed,Active,Website,1 81,2,2,0,17/01/2020,3,5
Wina Klarissa Salsabila,10269,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,COM,ChatAja,09/01/1986,Jawa,29/09/2014,,N/A-StillEmployed,Active,Indeed,3 9,4,5,5,18/01/2020,0,9
Winda Devita,10270,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer Android,Junior,Average,FIN,Bonum,03/14/85,Bali,17/02/2014,,N/A-StillEmployed,Active,LinkedIn,4 7,5,3,0,11/01/2020,0,4
Yanuar Ramadhani Achmadianto,10271,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Exceed,IHX,Squad A,05/12/1989,Jawa,27/09/2010,,N/A-StillEmployed,Active,Indeed,4 1,4,4,0,31/01/2020,0,18
Yehezkiel Dwisandi Sabana,10272,Menikah,Married,P,Prohire,Mobile Developer Android,Senior,Special treatment,IHX,Squad D,03/28/78,Sunda,08/01/2009,,N/A-StillEmployed,Active,Indeed,3 73,4,4,0,24/01/2020,0,12
Yobel Galih Christian Dwiatma,10273,Menikah,Married,L,TKP/ Outsource,Mobile Developer Android,Senior,Fully meets,EWD,Payment - SSOF,10/07/1982,Padang,05/01/2015,,N/A-StillEmployed,Active,Google Search,4 36,4,5,0,24/01/2020,0,10
Yoga R Nuraziz,10274,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Middle,Special treatment,COM,UMEETME,08/15/68,Cina,14/05/2012,,N/A-StillEmployed,Active,Indeed,3 4,3,5,0,31/01/2020,0,13
Yogi Prasetya,10275,Menikah,Pernah Menikah/Bercerai,L,Prohire,Back End Developer,Middle,Average,COM,ChatAja,05/06/1983,Sunda,07/07/2014,,N/A-StillEmployed,Active,LinkedIn,4 5,5,5,5,18/02/2020,0,1
Yohanes Dwiki Kurniawan,10276,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Senior,Exceed,Com,DTP Com,10/24/87,Cina,20/04/2017,,N/A-StillEmployed,Active,Indeed,3 4,3,3,6,02/01/2020,0,14
Yoyon Syafei,10277,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Need improvement,COM,Vutura,04/03/1975,Bali,27/04/2009,01/04/2015,Another position,Voluntarily Terminated,Diversity Job Fair,4 5,5,5,0,15/02/2013,0,11
Yuda Eka Putra,10278,Menikah,Widowed,P,TKP/ Outsource,System Documentation,Junior,Special treatment,EWD,Evaluate,05/24/53,Cina,16/05/2011,08/07/2019,Another position,Voluntarily Terminated,Google Search,3 93,4,3,0,18/04/2018,0,3
Yudhistira Rizky Ananda,10279,Menikah,Widowed,P,TKP/ Outsource,System Documentation,Middle,Exceed,EWD,Pay,05/07/1965,Padang,29/09/2014,,N/A-StillEmployed,Active,Indeed,3 69,4,3,0,28/01/2020,0,18
Yudi Suyudiana,10280,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Middle,Average,EDU,Squad Pijar Sekolah,05/09/1965,Padang,05/07/2011,05/09/2018,return to school,Voluntarily Terminated,Indeed,3 98,4,4,0,02/03/2017,0,1
Yudi Widiawan,10281,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Service Core,09/16/75,Sunda,25/06/2007,30/08/2012,military,Voluntarily Terminated,Other,4 1,4,4,0,14/07/2011,0,15
Yuni Nuraeni,10282,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Control Tower,06/05/1967,Padang,18/02/2013,,N/A-StillEmployed,Active,Indeed,4 21,4,5,0,14/01/2020,0,4
Yusril Firza,10283,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Middle,Fully meets,EDU,Squad Pijar Corpu,01/15/68,Padang,09/01/2006,,N/A-StillEmployed,Active,Indeed,4 1,4,3,0,04/01/2020,0,6
Yusril Iqbal,10284,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Average,LGT,Logee Port,05/16/83,Bali,17/02/2014,,N/A-StillEmployed,Active,LinkedIn,2 44,2,5,0,11/02/2020,4,18
Zahrah,10285,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Pijar Mahir,05/05/1988,Cina,05/01/2015,12/02/2018,medical issues,Voluntarily Terminated,CareerBuilder,5,5,3,5,15/04/2016,0,11
Zharfan Nugraha Permadi,10286,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Pijar Mahir,06/14/83,Bali,18/02/2013,15/04/2020,medical issues,Voluntarily Terminated,Diversity Job Fair,4 6,5,3,4,12/02/2018,0,9
Zia Ulhafidz Aldiansyah,10287,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Senior,Special treatment,FIN,Platform,03/15/85,Sunda,10/01/2011,02/07/2016,unhappy,Voluntarily Terminated,LinkedIn,4 4,4,3,0,05/01/2015,0,5
